74DAEAB15FB6
Date,Time,Temperature,Humidity
17-5-18,0:0:8,22.70,6.40
17-5-18,0:1:8,22.70,6.30
17-5-18,0:2:8,22.80,6.00
17-5-18,0:3:8,22.80,6.40
17-5-18,0:4:8,22.80,5.70
17-5-18,0:5:10,22.80,6.00
17-5-18,0:6:8,22.80,6.40
17-5-18,0:7:8,22.80,5.50
17-5-18,0:8:10,2.80,6.40
17-5-18,0:9:8,22.80,6.30
17-5-18,0:10:8,22.90,6.50
17-5-18,0:11:8,22.90,5.20
17-5-18,0:12:8,22.90,5.60
17-5-18,0:13:8,22.80,6.50
17-5-18,0:14:8,22.90,6.00
17-5-18,0:15:8,22.90,5.60
17-5-18,0:16:8,22.90,5.80
17-5-18,0:17:8,22.80,5.70
17-5-18,0:18:8,22.80,5.20
17-5-18,0:19:8,22.80,5.10
17-5-18,0:20:8,22.90,5.70
17-5-18,0:21:8,22.90,6.00
17-5-18,0:22:8,22.90,5.40
17-5-18,0:23:8,22.90,5.20
17-5-18,0:24:8,22.90,6.00
17-5-18,0:26:8,22.90,5.90
17-5-18,0:27:8,22.90,5.40
17-5-18,0:28:8,22.90,6.40
17-5-18,0:29:8,22.80,5.20
17-5-18,0:30:10,22.80,5.20
17-5-18,0:31:10,22.70,5.30
17-5-18,0:32:8,22.70,5.80
17-5-18,0:33:8,22.70,5.50
17-5-18,0:34:8,22.70,5.30
17-5-18,0:36:8,22.70,5.80
17-5-18,0:37:8,22.70,6.60
17-5-18,0:38:8,22.70,6.30
17-5-18,0:39:8,22.70,5.80
17-5-18,0:40:8,22.70,6.20
17-5-18,0:41:8,22.70,5.30
17-5-18,0:42:8,22.70,5.10
17-5-18,0:43:8,22.70,5.40
17-5-18,0:44:8,22.70,6.30
17-5-18,0:45:8,22.80,5.00
17-5-18,0:46:8,22.80,4.90
17-5-18,0:47:8,22.80,5.40
17-5-18,0:48:8,22.80,5.70
17-5-18,0:49:8,22.70,5.50
17-5-18,0:50:8,22.70,5.10
17-5-18,0:51:8,22.70,6.30
17-5-18,0:52:8,22.70,6.40
17-5-18,0:53:8,22.70,6.10
17-5-18,0:54:8,22.70,5.50
17-5-18,0:55:8,22.80,5.60
17-5-18,0:56:8,22.80,5.30
17-5-18,0:57:8,22.80,5.90
17-5-18,0:58:8,22.80,5.50
17-5-18,0:59:8,22.80,5.40
17-5-18,1:0:8,22.80,6.40
17-5-18,1:1:8,22.80,6.40
17-5-18,1:2:8,22.80,6.30
17-5-18,1:3:8,22.80,6.10
17-5-18,1:4:8,22.80,5.90
17-5-18,1:5:8,22.80,6.40
17-5-18,1:6:8,22.80,5.30
17-5-18,1:7:8,22.80,5.30
17-5-18,1:8:8,22.80,6.50
17-5-18,1:9:8,22.90,6.40
17-5-18,1:11:8,22.90,5.70
17-5-18,1:12:8,22.80,6.10
17-5-18,1:13:8,22.80,5.50
17-5-18,1:14:8,22.80,5.80
17-5-18,1:15:8,22.80,5.80
17-5-18,1:16:8,22.80,5.60
17-5-18,1:17:8,22.90,6.20
17-5-18,1:18:8,22.80,6.30
17-5-18,1:19:8,22.90,6.10
17-5-18,1:20:8,22.90,5.60
17-5-18,1:21:8,22.90,5.60
17-5-18,1:22:8,22.90,5.20
17-5-18,1:23:8,22.90,5.40
17-5-18,1:24:8,22.90,5.30
17-5-18,1:25:8,22.90,4.10
17-5-18,1:26:8,22.90,3.90
17-5-18,1:27:8,22.90,4.20
17-5-18,1:28:8,22.90,4.70
17-5-18,1:29:8,22.80,5.10
17-5-18,1:30:8,22.80,4.00
17-5-18,1:31:8,22.80,4.50
17-5-18,1:31:31,22.70,5.50
17-5-18,1:33:8,22.70,5.90
17-5-18,1:34:8,22.70,4.80
17-5-18,1:35:8,22.70,5.50
17-5-18,1:36:8,22.70,5.50
17-5-18,1:37:8,22.70,4.50
17-5-18,1:38:8,-1.00,-1.00
17-5-18,1:39:8,22.70,4.70
17-5-18,1:40:8,22.80,4.50
17-5-18,1:41:8,22.80,5.10
17-5-18,1:42:8,22.80,5.00
17-5-18,1:43:8,22.80,4.80
17-5-18,1:44:8,22.90,4.10
17-5-18,1:45:8,22.80,5.20
17-5-18,1:46:8,22.90,3.90
17-5-18,1:47:8,22.80,3.80
17-5-18,1:48:8,22.80,3.40
17-5-18,1:49:8,22.80,4.60
17-5-18,1:50:8,22.80,3.60
17-5-18,1:51:8,22.70,3.90
17-5-18,1:52:8,22.80,4.40
17-5-18,1:53:8,22.80,4.30
17-5-18,1:54:8,22.80,4.70
17-5-18,1:55:8,22.80,4.20
17-5-18,1:56:8,22.80,4.50
17-5-18,1:57:8,22.80,4.50
17-5-18,1:58:8,22.80,4.80
17-5-18,1:59:8,22.80,4.40
17-5-18,2:0:8,22.80,4.20
17-5-18,2:1:8,22.80,4.30
17-5-18,2:2:8,22.80,5.30
17-5-18,2:3:8,22.80,4.50
17-5-18,2:4:8,22.80,4.60
17-5-18,2:5:8,22.80,4.40
17-5-18,2:6:8,22.80,4.30
17-5-18,2:7:8,22.80,4.80
17-5-18,2:8:8,22.80,4.30
17-5-18,2:9:8,22.80,4.60
17-5-18,2:10:10,22.80,4.00
17-5-18,2:12:10,22.80,5.40
17-5-18,2:13:8,22.90,4.80
17-5-18,2:14:8,22.90,4.40
17-5-18,2:15:8,22.90,4.30
17-5-18,2:16:8,22.80,5.30
17-5-18,2:17:8,22.80,3.70
17-5-18,2:18:8,22.80,4.90
17-5-18,2:19:8,22.80,4.30
17-5-18,2:20:8,22.80,3.80
17-5-18,2:21:8,22.80,4.00
17-5-18,2:22:8,22.80,4.30
17-5-18,2:23:8,22.80,4.20
17-5-18,2:24:8,22.80,5.50
17-5-18,2:25:8,22.80,5.10
17-5-18,2:26:8,22.80,4.20
17-5-18,2:27:8,22.80,4.40
17-5-18,2:28:8,22.80,4.40
17-5-18,2:29:8,22.80,4.30
17-5-18,2:30:8,22.80,4.20
17-5-18,2:31:8,22.80,4.50
17-5-18,2:32:8,22.80,5.10
17-5-18,2:33:8,22.80,4.40
17-5-18,2:34:8,22.70,4.10
17-5-18,2:35:8,22.70,4.30
17-5-18,2:36:8,22.70,4.10
17-5-18,2:37:8,22.70,5.20
17-5-18,2:38:8,22.70,5.00
17-5-18,2:39:8,22.80,4.90
17-5-18,2:40:8,22.80,4.30
17-5-18,2:41:8,22.80,4.40
17-5-18,2:42:8,22.80,3.90
17-5-18,2:43:8,22.80,4.20
17-5-18,2:44:8,22.80,4.30
17-5-18,2:45:8,22.90,3.80
