74DAEAB15FB6
Date,Time,Temperature,Humidity
17-5-11,11:53:12,23.20,32.80
17-5-11,11:54:12,23.10,33.10
17-5-11,11:55:12,23.20,33.20
17-5-11,11:56:12,23.20,33.50
17-5-11,11:57:12,23.20,33.10
17-5-11,11:58:13,23.20,33.30
17-5-11,11:59:13,23.20,33.00
17-5-11,12:0:12,23.10,33/20
17-5-11,12:1:13,23.10,33.30
17-5-11,12:2:12,23.10,33.10
17-5-11,12:3:13,23.10,33.30
17-5-11,12:5:13,23.10,32.90
17-5-11,12:6:12,23.10,32.80
17-5-11,12:7:12,23.10,32.90
17-5-11,12:8:12,23.00,33.00
17-5-11,12:9:12,23.00,32.90
17-5-11,12:10:12,23.00,33.10
17-5-11,12:11:13,23.00,32.70
17-5-11,12:12:12,22.90,32.80
17-5-11,12:13:12,22.90,32.80
17-5-11,12:14:13,22.90,32.50
17-5-11,12:15:13,22.90,32.30
17-5-11,12:16:13,22.90,32.50
17-5-11,12:17:13,22.80,32.30
17-5-11,12:18:12,22.80,32.30
17-5-11,12:19:13,22.80,32.70
17-5-11,12:20:13,22.90,32.70
17-5-11,12:21:13,22.80,33.00
17-5-11,12:22:13,22.80,32.50
17-5-11,12:23:14,22.80,32.80
17-5-11,12:24:13,22.80,32.60
17-5-11,12:25:12,22.80,32.40
17-5-11,12:26:12,22.80,32.50
17-5-11,12:27:12,22.80,ffù40
17-5-11,12:28:13,22.80,32.20
17-5-11,12:29:13,22.80,31.80
17-5-11,12:30:12,22.80,31.90
17-5-11,12:31:13,22.80,31.80
17-5-11,12:32:12,22.80,31.50
17-5-11,12:33:12,22.80,32.00
17-5-11,12:34:12,22.80,32.00
17-5-11,12:35:12,22.80,32.10
17-5-11,12:36:12,22.80,31.90
17-5-11,12:37:12,22.70,31.80
17-5-11,12:38:12,22.70,31.90
17-5-11,12:39:13,22.70,32.10
17-5-11,12:40:12,22.60,32.00
17-5-11,12:41:12,22.60,32.20
17-5-11,12:42:13,22.60,32.20
17-5-11,12:43:12,22.60,32.10
17-5-11,12:44:12,22.60,31.70
17-5-11,12:45:12,22.60,31.80
17-5-11,12:46:12,22.60,32.00
17-5-11,12:47:13,22.60,32.10
17-5-11,12:48:14,22.60,32.20
17-5-11,12:49:13,22.60,32.20
17-5-11,12:50:12,22760,31.90
17-5-11,12:51:12,22.60,31.90
17-5-11,12:52:12,22.60,31.90
17-5-11,12:53:13,22.60,31.70
17-5-11,12:54:13,22.60,31.80
17-5-11,12:55:13,22.60,31.50
17-5-11,12:56:12,22.60,31.40
17-5-11,12:57:12,22.60,32.00
17-5-11,12:58:13,22.60,31.70
17-5-11,12:59:13,22.60,31.80
17-5-11,13:0:13,22.60,31.60
17-5-11,13:1:13,22.50,31.80
17-5-11,13:2:12,22.50,31.60
17-5-11,13:2:36,22.60,31.50
17-5-11,13:4:12,22.50,31.60
17-5-11,13:5:13,22.50,31.30
17-5-11,13:6:12,22.50,31.70
17-5-11,13:7:12,22.50,31.60
17-5-11,13:8:13,22.50,31.80
17-5-11,13:9:13,22.50,31.70
17-5-11,13:10:12,22.50,31.80
17-5-11,13:12:14,22.40,31.80
17-5-11,13:13:13,22.40,31.50
17-5-11,13:14:12,22.40,31.70
17-5-11,13:15:12,22.40,31.60
17-5-11,13:16:13,22.40,31.70
17-5-11,13:17:13,22.40,31.60
17-5-11,13:18:13,22.40,31.80
17-5-11,13:19:13,22.40,31.80
17-5-11,13:20:12,22.40,32.10
17-5-11,13:21:12,22.30,31.70
17-5-11,13:22:12,22.40,31.50
17-5-11,13:24:12,22.30,31.60
17-5-11,13:25:12,22.30,31.90
17-5-11,13:27:13,22.30,31.90
17-5-11,13:28:12,22.30,31.90
17-5-11,13:29:12,22.30,31.80
17-5-11,13:30:12,22.40,31.90
17-5-11,13:31:13,22.30,31.70
17-5-11,13:32:13,22.30,31.80
17-5-11,13:33:12,22.30,31.70
17-5-11,13:34:12,22.30,31.90
17-5-11,13:35:12,22.30,31.60
17-5-11,13:36:12,22.30,31.80
17-5-11,13:37:13,22.40,fÌ.70
17-5-11,13:38:13,22.30,32.00
17-5-11,13:39:13,22.40,31.70
17-5-11,13:41:14,22.40,31.60
17-5-11,13:43:13,22.40,31.10
17-5-11,13:44:12,22.40,31.50
17-5-11,13:45:13,22.40,31.10
17-5-11,13:46:12,22.40,31.20
17-5-11,13:47:13,22.40,31.10
17-5-11,13:48:12,22.40,31.20
17-5-11,13:49:12,22.40,31.10
17-5-11,13:51:13,22.40,31.00
17-5-11,13:52:13,22.40,31.00
17-5-11,13:53:13,22.40,30.90
17-5-11,13:54:12,22.40,31.10
17-5-11,13:55:12,22.40,31.10
17-5-11,13:56:12,22.40,31.10
17-5-11,13:57:13,22.40,31.00
17-5-11,13:58:13,22.40,31.10
17-5-11,13:59:12,22.40,31.00
17-5-11,14:0:13,22.40,31.00
17-5-11,14:1:13,22.40,31.30
17-5-11,14:2:13,22.40,31.10
17-5-11,14:3:12,22.40,30.90
17-5-11,14:4:12,22.40,31.10
17-5-11,14:5:12,22.40,31.10
17-5-11,14:6:12,22.40,31.00
17-5-11,14:7:13,22.40,31.20
17-5-11,14:8:13,22.30,31.30
17-5-11,14:9:13,22.30,31.20
17-5-11,14:10:12,22.30,31.10
17-5-11,14:11:13,22.30,31.00
17-5-11,14:12:12,22.30,31.00
17-5-11,14:13:13,22.30,31.00
17-5-11,14:14:12,22.30,31.40
17-5-11,14:15:12,22.30,31.20
17-5-11,14:16:12,22.30,31.10
17-5-11,14:17:12,22.30,31.10
17-5-11,14:18:13,22.30,31.40
17-5-11,14:19:12,22.30,31.00
17-5-11,14:20:12,22.30,31.10
17-5-11,14:21:12,22.30,31.20
17-5-11,14:22:12,22.30,31.30
17-5-11,14:23:12,22.20,31.00
17-5-11,14:24:12,22.20,31.10
17-5-11,14:25:12,22.20,31.10
17-5-11,14:26:12,22.20,31.20
17-5-11,14:27:12,22.20,30.90
17-5-11,14:28:12,22.20,31.00
17-5-11,14:29:12,22.20,30.90
17-5-11,14:30:12,22.30,30.90
17-5-11,14:31:12,22.20,31.10
17-5-11,14:32:13,22.30,31.00
17-5-11,14:33:13,22.30,31.00
17-5-11,14:34:12,22.30,31.00
17-5-11,14:36:13,22.30,31.00
17-5-11,14:37:12,22.30,31.00
17-5-11,14:38:12,22.30,31.00
17-5-11,14:39:12,22.30,31.20
17-5-11,14:40:12,22.30,31.00
17-5-11,14:41:13,22.3031.00,74DAEAB15FB6
17-5-11,14:42:12,22.30,31.10
17-5-11,14:43:13,22.30,31.00
17-5-11,14:44:12,22.30,31.00
17-5-11,14:45:12,22.30,31.00
17-5-11,14:46:12,22.30,31.00
17-5-11,14:47:13,22.30,31.00
17-5-11,14:48:12,22.30,31.00
17-5-11,14:49:12,22.30,31.00
17-5-11,14:50:12,22.30,30.80
17-5-11,14:51:12,22.30,31.00
17-5-11,14:52:12,22.30,31.00
17-5-11,14:53:14,22.30,31.00
17-5-11,14:54:12,22.30,31.00
17-5-11,14:55:12,22.20,31.00
17-5-11,14:56:13,22.30,31.00
17-5-11,14:57:12,22.30,31.00
17-5-11,14:58:12,22.20,31.00
17-5-11,14:59:13,22.20,30.50
17-5-11,15:0:13,22.20,30.60
17-5-11,15:1:13,22.20,30.40
17-5-11,15:2:13,22.20,30.60
17-5-11,15:3:13,22.20,30.30
17-5-11,15:5:12,22.20,30.10
17-5-11,15:6:12,22.20,30.30
17-5-11,15:7:12,22.30,30.10
17-5-11,15:8:13,22.30,30.10
17-5-11,15:9:12,22.30,30.00
17-5-11,15:10:13,22.30,30.40
17-5-11,15:11:12,22.30,30.40
17-5-11,15:12:13,22.30,30.00
17-5-11,15:13:13,22.30,30.10
17-5-11,15:14:13,22.30,30.20
17-5-11,15:15:12,22.30,30.30
17-5-11,15:16:12,22.30,30.00
17-5-11,15:17:12,22.30,30.00
17-5-11,15:18:12,22.30,29.80
17-5-11,15:19:13,22.30,30.00
17-5-11,15:20:12,22.30,29.90
17-5-11,15:21:12,22.30,29.80
17-5-11,15:22:13,22.30,29.70
17-5-11,15:23:13,22.30,29.70
17-5-11,15:24:14,22.30,29.60
17-5-11,15:26:12,22.30,29.70
17-5-11,15:27:12,22.30,29.70
17-5-11,15:28:12,22.30,29.70
17-5-11,15:29:13,22.40,29.80
17-5-11,15:30:13,22.30,29.90
17-5-11,15:31:14,22.æ0,29.70
17-5-11,15:32:14,22.40,29.70
17-5-11,15:33:12,22.40,29.70
17-5-11,15:34:13,22.40,29.70
17-5-11,15:35:12,22.30,29/80
17-5-11,15:36:12,22.30,29.60
17-5-11,15:37:12,22.30,29.70
17-5-11,15:38:14,-1.00,-1.00
17-5-11,15:39:13,22.30,29.90
17-5-11,15:40:13,22.30,29.70
17-5-11,15:41:12,22.30,29.70
17-5-11,15:42:13,22.30,29.60
17-5-11,15:43:13,22.30,29.70
17-5-11,15:44:12,22.30,30.00
17-5-11,15:45:12,22.30,29.90
17-5-11,15:46:13,22.30,29.90
17-5-11,15:47:12,22.30,30.00
17-5-11,15:48:12,22.30,29.90
17-5-11,15:49:12,22.30,29.90
17-5-11,15:50:12,22.20,29.80
17-5-11,15:51:12,-1.00,-1.00
17-5-11,15:52:12,-1.00,-1.00
17-5-11,15:53:12,-1.00,-1.00
17-5-11,15:54:12,-1.00,-1.00
17-5-11,15:55:12,-1.00,-1.00
17-5-11,15:56:12,-1.00,-1.00
17-5-11,15:57:12,-1.00,-1.00
17-5-11,15:58:12,-1.00,-1.00
17-5-11,15:59:12,-1.00,-1.00
17-5-11,16:0:12,-1.00,-1.00
17-5-11,16:1:12,-1.00,-1.00
17-5-11,16:2:12,-1.00,-1.00
17-5-11,16:3:12,-1.00,-1.00
17-5-11,16:4:12,-1.00,-1.00
17-5-11,16:5:12,-1.00,-1.00
17-5-11,16:6:12,-1.00,-1.00
17-5-11,16:7:12,-1.00,-1.00
17-5-11,16:8:12,-1.00,-1.00
17-5-11,16:9:12,-1.00,-1.00
17-5-11,16:10:12,-1.00,-1.00
17-5-11,16:11:12,-1.00,-1.00
17-5-11,16:12:12,-1.00,-1.00
17-5-11,16:13:12,-1.00,-1.00
17-5-11,16:14:12,-1.00,-1.00
17-5-11,16:15:12,-1.00,-1.00
17-5-11,16:16:12,-1.00,-1.00
17-5-11,16:17:12,-1.00,-1.00
17-5-11,16:18:12,-1.00,-1.00
17-5-11,16:19:12,-1.00,-1.00
17-5-11,16:20:12,-1.00,-1.00
17-5-11,16:21:12,-1.00,-1.00
17-5-11,16:22:12,-1.00,-1.00
17-5-11,16:23:12,-1.00,-1.00
